"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"13623",0.794646837186603,5.25582222515672,11.7398006630289,2.83186623445205e-22,4.92631450145278e-18,40.0187963328466
"10970",0.632122769395932,5.36154578004478,11.4720206332689,1.33995930159043e-21,1.02181934876435e-17,38.4983089868881
"5442",-1.4931332802799,2.18077908370896,-11.3873334692503,2.19088266008937e-21,1.02181934876435e-17,38.0172799197286
"17075",0.620263472425838,7.26592618281343,11.3752904026028,2.34955012362463e-21,1.02181934876435e-17,37.9488711224901
"4461",0.678228654331338,6.56943521908209,11.2923523317181,3.80281988143824e-21,1.32307709314999e-17,37.477742278978
"6563",0.600491137744018,5.54524402749254,11.1314693430429,9.6766175004489e-21,2.80557396729682e-17,36.5638667382372
"4489",0.715696680255983,4.30911573216418,10.7812260952646,7.38318000970886e-20,1.29714979999315e-16,34.5752921189215
"6074",0.732901070842105,4.92978945146269,10.7506907097265,8.81311309127726e-20,1.29714979999315e-16,34.4020349498738
"6969",0.529864413639953,4.20743601511194,10.7439021828909,9.16686438231074e-20,1.29714979999315e-16,34.3635203036739
"3838",0.737783001270337,4.60820869885075,10.7419545452769,9.27095052702708e-20,1.29714979999315e-16,34.3524706279523
"12177",0.698914606868422,5.06223036462687,10.7396781172485,9.39410558327427e-20,1.29714979999315e-16,34.3395557316544
"3964",0.573026534303828,6.3840539103806,10.7395970360648,9.39852210458552e-20,1.29714979999315e-16,34.3390957350476
"10333",0.705780547608856,5.61802759281343,10.7342646985681,9.69357748902676e-20,1.29714979999315e-16,34.3088442625644
"5084",1.51348821726435,6.90933317176119,10.6698073491578,1.40841293349372e-19,1.6689764967124e-16,33.9432283761325
"3644",0.739435530746417,6.71340983698507,10.6660872715124,1.43910367042343e-19,1.6689764967124e-16,33.9221310866924
"12855",-1.97138187345574,1.91879797450746,-10.6245272032632,1.8309219473015e-19,1.99066988720356e-16,33.686465756742
"1214",0.559590080436608,6.65062683598507,10.5974498950524,2.14185695575787e-19,2.19174962366846e-16,33.5329553689561
"10443",0.712322439235647,4.70242471391791,10.5804852742471,2.36300074293247e-19,2.22461865104439e-16,33.4367901863493
"470",0.618234329716501,7.07779538597761,10.5688417071363,2.52784118120295e-19,2.22461865104439e-16,33.3707937356495
"6535",0.533833370979664,5.50367695473134,10.5668193593631,2.55762089106047e-19,2.22461865104439e-16,33.359331446502
"12521",0.483144110763155,5.43663353771642,10.5473598741822,2.86269462594491e-19,2.37140170061608e-16,33.2490464392413
"1550",0.613159835200959,6.54854851906716,10.5093909636378,3.56652000896568e-19,2.71426351824505e-16,33.0339022675128
"6916",0.574959902941394,6.16132037973134,10.5023960947014,3.71389733024427e-19,2.71426351824505e-16,32.994273238428
"4132",0.551294089806227,5.66516408009702,10.4961813668184,3.84993228333766e-19,2.71426351824505e-16,32.9590657032699
"6711",0.53680258430383,4.9769872271194,10.4939180684262,3.90070061831032e-19,2.71426351824505e-16,32.9462441049919
"6555",0.607266963883971,5.91127913776119,10.4716607158071,4.43699150273406e-19,2.96868862236775e-16,32.820167278785
"1569",0.572245463366027,5.43721608943284,10.4416467015585,5.27857710388417e-19,3.400967677747e-16,32.6501858375089
"7428",-1.31674749254665,1.55597162629104,-10.4312559473865,5.60564801512021e-19,3.48270903110826e-16,32.5913478988919
"4755",0.647454586905504,5.9547647626791,10.414612616711,6.17221763445534e-19,3.70247924030983e-16,32.4971145490762
"11151",0.476139074857661,6.05619018847015,10.4084942723276,6.39457695877665e-19,3.70800202582929e-16,32.462476053101
"9050",0.697717539730867,7.45982640295522,10.3982471842079,6.78504894207166e-19,3.76270016370967e-16,32.4044668449005
"3244",0.573009720221294,5.83460246298507,10.3948046966012,6.92149949636177e-19,3.76270016370967e-16,32.3849798580306
"341",0.691875543448566,6.44691916560448,10.3798371086491,7.54735041974743e-19,3.83337674926635e-16,32.3002588247754
"12533",0.602910471754789,6.97167526561194,10.3763439858915,7.70136258219283e-19,3.83337674926635e-16,32.2804882179796
"14715",0.637676663700961,4.93863165120896,10.3760921111302,7.71258830905509e-19,3.83337674926635e-16,32.2790626629054
"8343",0.599590064190197,7.05077440212687,10.3643564143865,8.25415577567998e-19,3.98859149649247e-16,32.212644583312
"834",0.616393980210526,6.74320033480597,10.3224690877905,1.05158007821375e-18,4.8561489110191e-16,31.9756382818686
"2455",0.672776110025122,5.15937702283582,10.3149910734387,1.09802918523931e-18,4.8561489110191e-16,31.9333354893455
"3371",0.591782329600482,5.75444766758209,10.3144640398652,1.1013790505426e-18,4.8561489110191e-16,31.9303541912824
"6863",0.550777961705745,5.8837256558806,10.3108204432953,1.12481882268383e-18,4.8561489110191e-16,31.9097436583225
"4069",0.641670881982057,3.16962173038806,10.3078149343616,1.14452808319029e-18,4.8561489110191e-16,31.8927430725397
"6496",0.549220399994018,5.06475208657463,10.2846694253667,1.30832346881132e-18,5.41895120558135e-16,31.7618367620465
"1593",0.708159003253588,6.28845260664179,10.2742480874463,1.38952280218736e-18,5.62142759694217e-16,31.7029049736593
"12005",0.580124331754784,6.93525567559701,10.2683943694355,1.43731993603265e-18,5.68264036527818e-16,31.6698052306311
"352",0.572996876307421,6.06105008462687,10.2466140246602,1.63003189161695e-18,6.22302687442117e-16,31.5466649336242
"1862",0.620802877112443,6.5785896421791,10.2426938763809,1.66736152609892e-18,6.22302687442117e-16,31.524504209277
"1798",0.570220250683016,4.94955617602985,10.2412505994973,1.68131905666702e-18,6.22302687442117e-16,31.516345532393
"12002",0.503431507002393,4.26059777594776,10.1985283634303,2.15175355848613e-18,7.79831352154681e-16,31.2748946999006
"534",0.52263808595933,5.33000817652239,10.1927406378502,2.22486640373597e-18,7.8987297876308e-16,31.2421925695328
"9789",0.52303753095694,8.07386379858955,10.1599448411552,2.68853439431682e-18,9.35394886470709e-16,31.056925151057
"4419",0.89174520438876,7.07449053808209,10.1536532115316,2.78794413000606e-18,9.4641833340615e-16,31.0213903212258
"3345",0.68750766460168,6.58237286622388,10.1398547116195,3.01899934247704e-18,9.4641833340615e-16,30.9434654689777
"11625",0.519111757787082,5.88455268798507,10.1371228538623,3.06696224425633e-18,9.4641833340615e-16,30.928039116848
"407",0.534046136727277,5.74452929621642,10.1344348340861,3.11489775663643e-18,9.4641833340615e-16,30.91286075987
"6402",0.605911710997616,6.95658563448507,10.1334036524744,3.1334846669172e-18,9.4641833340615e-16,30.9070381375222
"5177",-1.52920399997727,5.78610555932836,-10.1330375910578,3.14010946506529e-18,9.4641833340615e-16,30.9049711679028
"7501",0.617959722351674,6.25901519309701,10.1316001188349,3.16625963715244e-18,9.4641833340615e-16,30.896854546257
"1776",0.83306148958493,4.6139337463209,10.1273662613009,3.2445507385948e-18,9.4641833340615e-16,30.872949007145
"10593",0.574753656535887,6.06651294725373,10.1273222257058,3.24537510127306e-18,9.4641833340615e-16,30.8727003757654
"7725",0.669480243452155,4.95751232592537,10.1263163818855,3.26426189953834e-18,9.4641833340615e-16,30.8670212680391
"4065",0.778002262063397,4.62883210620896,10.1178416262566,3.42781213520202e-18,9.77544588589743e-16,30.8191743518676
"959",0.505151496473685,4.80087926716418,10.089095151322,4.04595873881612e-18,1.11855473344441e-15,30.6569108794521
"10591",0.54775707971053,6.68887343816418,10.0888847455483,4.05087078678995e-18,1.11855473344441e-15,30.6557234099411
"10705",0.489820987544259,5.24563476208955,10.0848944719589,4.14516104913034e-18,1.12670658766674e-15,30.6332039989845
"3428",0.685020808696175,8.16975818309701,10.0634509732855,4.69067700347941e-18,1.24973017815215e-15,30.5122037875906
"2634",-1.20830278167225,1.39560000679104,-10.0615835907622,4.74144583571178e-18,1.24973017815215e-15,30.5016680554737
"6785",0.576411786137558,5.84439634289552,10.0489176144455,5.10057619695585e-18,1.32432273913797e-15,30.4302130163452
"902",0.664432482184215,6.38349751552239,10.0396016653054,5.38193084777771e-18,1.35705282629244e-15,30.3776640054244
"3520",0.724352192087325,6.77311875106716,10.0395783600907,5.38265377179687e-18,1.35705282629244e-15,30.3775325537066
"988",0.685288872935407,6.41792779188806,10.0134737646599,6.25641357512224e-18,1.55480815075467e-15,30.2303143726545
"7266",0.550278916180623,6.06006078246269,10.00779991744,6.46430787797559e-18,1.58384647669385e-15,30.1983226403314
"588",0.630657379736842,6.0448192333209,9.99159813374974,7.09668055845748e-18,1.71463687492953e-15,30.1069820070823
"8935",0.756156638583738,6.1362323389403,9.97967836867575,7.60099898736673e-18,1.79728340643852e-15,30.0397939096995
