"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"10728",-1.32789142790384,1.90249714129851,-10.2359552091257,1.73353580736044e-18,3.01565889048422e-14,31.419744427946
"13385",1.00889944053846,6.05139809613433,9.88643935554452,1.29998184118106e-17,9.02098144098768e-14,29.463918035114
"10694",-1.31321403510839,3.43230770412687,-9.85521417282482,1.55569925977024e-17,9.02098144098768e-14,29.2895822122803
"16113",-3.42332017010664,-1.39259938855224,-9.73486318743726,3.10594574237848e-17,1.3507758033604e-13,28.6183442381036
"16278",-2.85307389442308,-0.172656013865672,-9.6804059714075,4.24506490699706e-17,1.47694298244242e-13,28.3150066495976
"6969",0.437928191132868,4.20743601511194,9.60022428681923,6.72138458854089e-17,1.94875343837096e-13,27.868850229856
"1431",1.00547249111189,2.0569209461194,9.48806813177275,1.27692871748956e-16,3.00463491538482e-13,27.2457809429891
"13548",-2.77407800843531,0.725252029932836,-9.4742637818918,1.38175898615076e-16,3.00463491538482e-13,27.1691776551572
"2820",0.724801003230772,4.18391569176119,9.36164311265976,2.62817481007878e-16,5.07996988845893e-13,26.5449578005099
"4279",0.70505173831119,5.03336100537313,9.31029574748057,3.52174935804814e-16,6.12643518326055e-13,26.2608093319483
"10778",0.612827950139862,4.53731407177612,9.27381331115548,4.33497089273348e-16,6.36556971526619e-13,26.0591014168956
"5496",-3.45579819630944,-1.37786201453731,-9.26623848639542,4.52596933454885e-16,6.36556971526619e-13,26.0172401017925
"4419",0.752022077416087,7.07449053808209,9.25749140796282,4.75697897783746e-16,6.36556971526619e-13,25.968908767942
"7439",1.28651004690734,5.52346726666418,9.2078291189445,6.30961418267249e-16,7.36743054934441e-13,25.6946743444148
"15829",-2.70258674646504,-1.44048889397761,-9.18715959695098,7.0961104860883e-16,7.36743054934441e-13,25.5806246148542
"13593",0.591407839339166,5.470042183,9.18519872503772,7.1756145140568e-16,7.36743054934441e-13,25.5698076665433
"7725",0.561649967444058,4.95751232592537,9.18460847989843,7.19971943773597e-16,7.36743054934441e-13,25.5665517318952
"1776",0.693957763814687,4.6139337463209,9.12081570076866,1.03422878128915e-15,9.88670251863344e-13,25.2149096776685
"9789",0.433942014003502,8.07386379858955,9.1132100517139,1.07983069587282e-15,9.88670251863344e-13,25.1730195198856
"10593",0.477133510426573,6.06651294725373,9.08937429930951,1.23612339729551e-15,1.07518013096763e-12,25.0417856942965
"1038",0.655238008701051,4.44531100290298,9.0739597156184,1.34899355804289e-15,1.11748056836734e-12,24.9569558713137
"983",0.559441136867139,5.2589711146791,9.03218924426553,1.70911987684368e-15,1.35144769898058e-12,24.7272407119164
"7305",0.729984876508746,5.87303339692537,9.02365140805173,1.79376077959014e-15,1.35670706616305e-12,24.6803157705016
"12492",0.5355448548007,6.05539106279851,8.98205457759927,2.26974308822013e-15,1.64518544844489e-12,24.4518359578241
