"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"5130",0.886033129379554,3.66050030250746,6.50562754065285,1.44626403224307e-09,4.24553952289973e-07,11.5360658171611
"12326",0.687080240461538,1.59990948036567,6.50225299910336,1.47108852294494e-09,4.24553952289973e-07,11.5198673572402
"2577",0.781417497258096,5.72204571741791,6.49882305111205,1.4967508634238e-09,4.24553952289973e-07,11.503407248002
"3054",0.565309127232794,1.49023325898507,6.49671013345151,1.51277845068841e-09,4.24553952289973e-07,11.4932696522439
"5757",0.645421180905871,4.07549647722388,6.48809284114462,1.57991512812819e-09,4.36357511578262e-07,11.4519417570213
"10182",0.68645169416498,1.76881847944776,6.47414036441632,1.69489423008066e-09,4.6079936880318e-07,11.3850851880037
"7138",1.68222225523482,0.0905062143656716,6.46755919784099,1.75195220533247e-09,4.68984128812076e-07,11.3535751521761
"11872",1.16336958353138,1.3301022171791,6.46188120351629,1.80269758249846e-09,4.75256635385957e-07,11.326402423936
"10333",-0.40878931561235,5.61802759281343,-6.45151976851816,1.8990595083978e-09,4.93188588748085e-07,11.2768476343726
"14348",0.638678773853237,4.20545347055224,6.42972814981104,2.11858425303474e-09,5.42108323570653e-07,11.1727583111025
"1139",0.388274047820848,2.80024770808955,6.42318055371443,2.1892975394453e-09,5.46448059584827e-07,11.1415182296935
"1636",0.571275813145748,2.9387121794403,6.42168812101767,2.20573816240434e-09,5.46448059584827e-07,11.1343997621532
"4274",1.24766478711741,2.93871142563433,6.41952713239085,2.22975932359326e-09,5.46448059584827e-07,11.1240939740234
"3557",1.56313160191397,-0.333426231716418,6.41000311015437,2.33873337706764e-09,5.65193899458014e-07,11.078694876717
"10195",0.556813749356275,3.25502082993284,6.40214694688525,2.43255813313266e-09,5.79815226253539e-07,11.0412720816257
"3292",0.902950091448381,1.41881272532836,6.39324233826807,2.54339138069728e-09,5.94455278248714e-07,10.9988834678512
"448",0.650309502784411,6.09748785358209,6.39176086781066,2.56230723383067e-09,5.94455278248714e-07,10.9918341611726
"2713",0.457151696170039,4.29007782343284,6.38769633138641,2.61491880806773e-09,5.98678779741823e-07,10.9724981173559
"9190",-0.377710429213566,6.9853529705597,-6.34976293812624,3.16014083116213e-09,7.14109746262612e-07,10.7923452181591
"11144",1.14230209394939,0.000384424447761199,6.33911401742848,3.33236505290398e-09,7.43373742570888e-07,10.7418713678579
"11136",1.27934844183502,0.0628076843059702,6.3338655250628,3.42061531302505e-09,7.46362999836342e-07,10.7170107157074
"10811",0.810229837353242,5.14083109100746,6.33322427561205,3.43155402223605e-09,7.46362999836342e-07,10.7139740294522
"14238",0.559924623980769,2.96407714952239,6.32789698961806,3.5237705035732e-09,7.56958108174984e-07,10.6887524459652
"2184",0.733611006881579,2.08710359221642,6.31430368209771,3.77027132855421e-09,8.00033184351747e-07,10.6244462565846
"15835",0.796781794786437,4.35652016316418,6.31047436435359,3.84272470347781e-09,8.05583251090528e-07,10.6063438546757
"11608",0.835297242871458,1.92249049673881,6.29251539437074,4.20122232737565e-09,8.66733883896967e-07,10.5215228729233
"13939",0.546797420946358,6.84206942843284,6.29094725225214,4.23404483512886e-09,8.66733883896967e-07,10.5141224930325
"13923",1.02753046695749,0.674408952477612,6.2874698157575,4.30773337450090e-09,8.71564659492042e-07,10.4977152253467
"927",-0.518496741922061,5.32858798466418,-6.27197891627669,4.65162163783003e-09,9.30324327566006e-07,10.4246839836452
"3517",0.758184639919028,1.41466284913433,6.24191201286264,5.39794292275404e-09,1.06732053245364e-06,10.2832066243111
"2834",2.64462968154049,-0.151599071723881,6.22977096839022,5.73164635109616e-09,1.11411722301555e-06,10.2261802274313
"16642",0.686236493455466,2.69417499930597,6.22699605212869,5.81072016177016e-09,1.11411722301555e-06,10.2131547653129
"13246",0.794141549263156,7.15730099391045,6.22643961545788,5.82670501692042e-09,1.11411722301555e-06,10.2105432227888
"4689",1.3946598427834,3.18113950635075,6.22322892659028,5.9197874214992e-09,1.11961196884876e-06,10.1954768215888
"15036",0.75000950670243,2.39379452344776,6.21652964525988,6.11874404809525e-09,1.1447972735146e-06,10.1640532898382
"16414",0.843328402779353,1.56147786399254,6.20943026176069,6.33676138758387e-09,1.17297498025489e-06,10.1307727839509
"1059",-0.52932139736842,8.02390371654478,-6.19907186633614,6.66863058756738e-09,1.22141233919655e-06,10.0822511968619
"390",0.589590037290482,8.33756042432836,6.18902328952901,7.00688514534167e-09,1.26999793259318e-06,10.0352224124935
"6955",-0.324656253384614,4.28721189464179,-6.17849753378211,7.37929404836094e-09,1.32370841692248e-06,9.98600435012323
"8753",0.786249128902834,1.49035766608955,6.17165631035936,7.63170672857174e-09,1.35501731711376e-06,9.95403922854165
"8195",0.668742287584007,6.49926621208209,6.16793430189094,7.77257938204561e-09,1.36608970957165e-06,9.93665643701865
"4463",-0.347288691157895,5.34834835245522,-6.13572035902448,9.10361552778902e-09,1.57971274266697e-06,9.78644580268931
"2968",0.997971457095142,0.492494102470149,6.1342465461929,9.16959695456117e-09,1.57971274266697e-06,9.77958376153665
"13264",0.871380606530365,3.83341156327612,6.11155695567502,1.02467450040552e-08,1.74797414775058e-06,9.67405488977222
"8812",0.647775706251012,4.4744963866194,6.10540198445314,1.05597810437733e-08,1.78388534137529e-06,9.64546505244316
"16475",-0.564105383739879,2.61621225438806,-6.08885857241361,1.14484915322127e-08,1.91090840035132e-06,9.56869913543135
"16763",1.01936039428846,4.12700300373881,6.08738114837908,1.15313437952235e-08,1.91090840035132e-06,9.56184904627128
"5377",1.30477022499595,1.22863388029851,6.07613884898371,1.21813950679846e-08,1.99958749229181e-06,9.50975396942328
"5658",0.595489984775303,1.9050037698209,6.07112421978,1.2482837135154e-08,2.01620903625782e-06,9.48653405082681
"275",0.660962758370446,1.77344334891045,6.07060603980585,1.25144009147037e-08,2.01620903625782e-06,9.48413525397704
"11548",0.692807125345141,2.49542465965672,6.05069156968836,1.37887039177566e-08,2.19424053124949e-06,9.392031408002
